_id,Area_of_Origin,Building_Status,Business_Impact,Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Exposures,Ext_agent_app_or_defer_time,Extent_Of_Fire,Final_Incident_Type,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Alarm_System_Presence,Fire_Under_Control_Time,Ignition_Source,Incident_Number,Incident_Station_Area,Incident_Ward,Initial_CAD_Event_Type,Intersection,Last_TFS_Unit_Clear_Time,Latitude,Level_Of_Origin,Longitude,Material_First_Ignited,Method_Of_Fire_Control,Number_of_responding_apparatus,Number_of_responding_personnel,Possible_Cause,Property_Use,Smoke_Alarm_at_Fire_Origin,Smoke_Alarm_at_Fire_Origin_Alarm_Failure,Smoke_Alarm_at_Fire_Origin_Alarm_Type,Smoke_Alarm_Impact_on_Persons_Evacuating_Impact_on_Evacuation,Smoke_Spread,Sprinkler_System_Operation,Sprinkler_System_Presence,Status_of_Fire_On_Arrival,TFS_Alarm_Time,TFS_Arrival_Time,TFS_Firefighter_Casualties,Response_Minutes,Minutes_To_Control
193487,64 - Porch or Balcony,01 - Normal (no change),8 - Not applicable (not a business),0,0,50000.0,0.0,,2015-05-23T08:46:30,9 - Confined to roof/exterior structure,01 - Fire,7 - Not applicable: Occupant(s) first alerted by other means,1 - Fire alarm system operated,1 -  Fire alarm system present,2015-05-23 09:09:00,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",F15047613,331,19.0,FIR,Strachan Ave / Canniff St,2015-05-23T09:40:36,43.64145,996,-79.41175,48 - Multiple Objects or Materials,1 - Extinguished by fire department,10,33,45 - Improperly Discarded,"303 - Attached Dwelling (eg. rowhouse, townhouse, etc.)",2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,2 - Hardwired (standalone),7 - Not applicable: Occupant(s) first alerted by other means,9 - Confined to roof/exterior structure,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2015-05-23 08:37:54,2015-05-23 08:41:46,1,3.8666666666666667,31.1
193488,64 - Porch or Balcony,01 - Normal (no change),9 - Undetermined,0,0,50000.0,2.0,2.0,2015-05-24T06:59:08,9 - Confined to roof/exterior structure,01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),2 - No Fire alarm system,2015-05-24 07:00:08,"71 - Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",F15047967,341,15.0,FICI,Rogers Rd / Oakwood Ave,2015-05-24T08:08:45,43.68713,002,-79.43869000000001,12 - Exterior Cladding,1 - Extinguished by fire department,10,33,45 - Improperly Discarded,"331 - Apartment, Flat, Tenement with Business",2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,1 - Battery operated,1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,9 - Confined to roof/exterior structure,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2015-05-24 06:54:33,2015-05-24 06:58:08,1,3.5833333333333335,5.583333333333333
193615,24 - Cooking Area or Kitchen,01 - Normal (no change),3 - May resume operations within a month,0,0,20000.0,2.0,,2017-04-27T11:03:55,2 - Confined to part of room/area of origin,01 - Fire,7 - Not applicable: Occupant(s) first alerted by other means,9 - Fire alarm system operation undetermined,9 - Undetermined,2017-04-27 11:12:14,24 - Circuit Wiring - Copper,F17037722,227,32.0,FICI,Spruce Hill Rd / Queen St E,2017-04-27T13:07:20,43.67239,001,-79.28876,43 - Electrical Wiring Insulation,1 - Extinguished by fire department,11,36,52 - Electrical Failure,"151 - Restaurants (occupant load greater than 30 persons, licensed)",3 - Floor/suite of fire origin: Smoke alarm present did not operate,1 - No battery,1 - Battery operated,7 - Not applicable: Occupant(s) first alerted by other means,"7 - Spread to other floors, confined to building",8 - Not applicable - no sprinkler system present,3 - No sprinkler system,2 - Fire with no evidence from street,2017-04-27 10:54:58,2017-04-27 10:58:34,1,3.6,17.266666666666666
194346,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",01 - Normal (no change),2 - May resume operations within a week,0,0,100000.0,4.0,,2017-02-26T03:00:00,3 - Spread to entire room of origin,01 - Fire,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system,1 - Fire alarm system operated,1 -  Fire alarm system present,2017-02-26 03:04:00,55 - Candle,F17018241,315,,FIHRD,College St / Crawford St,2017-02-26T05:27:12,43.65516,003,-79.41903,23 - Cabinetry,1 - Extinguished by fire department,17,51,44 - Unattended,334 - Attached Dwelling with Business,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,4 - Interconnected,1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,10 - Spread beyond building of origin,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",2017-02-26 02:49:52,2017-02-26 02:54:40,1,4.8,14.133333333333333
194347,"31 - Process Manufacturing (inc manf, prod assembly, repair)",01 - Normal (no change),5 - May not resume operations,0,0,50000.0,0.0,,2014-03-16T03:38:55,1 - Confined to object of origin,01 - Fire,9 - Undetermined,9 - Fire alarm system operation undetermined,9 - Undetermined,2014-03-16 03:38:55,12 - Oven,F14024065,146,7.0,FICI,Elrose Ave / Marmora St,2014-03-16T05:12:48,43.7189,B01,-79.52611999999999,97 - Other,1 - Extinguished by fire department,10,34,51 - Mechanical Failure,"633 - Mfg: Grain Products, Bakery Goods",3 - Floor/suite of fire origin: Smoke alarm present did not operate,99 - Reason for inoperation undetermined,2 - Hardwired (standalone),9 - Undetermined,"4 - Spread beyond room of origin, same floor",5 - Did not activate: reason unknown,2 - Partial sprinkler system present,"3 - Fire with smoke showing only - including vehicle, outdoor fires",2014-03-16 03:22:40,2014-03-16 03:28:43,1,6.05,16.25
194533,64 - Porch or Balcony,01 - Normal (no change),8 - Not applicable (not a business),0,1,25000.0,6.0,1.0,2013-03-31T20:35:00,"4 - Spread beyond room of origin, same floor",01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),2 - No Fire alarm system,2013-03-31 20:43:15,14 - Open Fired Barbeque - Fixed or Portable,F13024634,345,19.0,FIR,Delaware Ave / Hallam St,2013-03-31T21:55:41,43.66745,002,-79.43053,12 - Exterior Cladding,1 - Extinguished by fire department,10,35,44 - Unattended,301 - Detached Dwelling,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,1 - Battery operated,3 - No one (at risk) evacuated as a result of hearing alarm,2 - Confined to part of room/area of origin,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"5 - Flames showing from large area (more than one storey, large area outdoors)",2013-03-31 20:30:33,2013-03-31 20:34:41,1,4.133333333333334,12.7
194721,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",01 - Normal (no change),8 - Not applicable (not a business),0,0,0.0,0.0,,2016-09-06T00:46:23,1 - Confined to object of origin,01 - Fire,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system,1 - Fire alarm system operated,1 -  Fire alarm system present,2016-09-06 00:48:13,98 - Other,F16083005,223,36.0,FIHR,Markham Rd / Eglinton Ave E,2016-09-06T01:35:40,43.74318,001,-79.21891,"46 - Rubbish, Trash, Waste",1 - Extinguished by fire department,10,33,45 - Improperly Discarded,323 - Multi-Unit Dwelling - Over 12 Units,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,9 - Type undetermined,2 - Some persons (at risk) self evacuated as a result of hearing alarm,"7 - Spread to other floors, confined to building",1 - Sprinkler system activated,2 - Partial sprinkler system present,2 - Fire with no evidence from street,2016-09-06 00:28:43,2016-09-06 00:34:11,1,5.466666666666667,19.5
194963,24 - Cooking Area or Kitchen,01 - Normal (no change),8 - Not applicable (not a business),0,0,25000.0,3.0,,2016-09-09T16:10:15,2 - Confined to part of room/area of origin,01 - Fire,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system,1 - Fire alarm system operated,1 -  Fire alarm system present,2016-09-09 16:10:23,"11 - Stove, Range-top burner",F16084400,443,4.0,FIR,Hartfield Rd / Hartfield Crt,2016-09-09T17:26:09,43.6664,B01,-79.52431999999999,"74 - Cooking Oil, Grease",1 - Extinguished by fire department,10,34,44 - Unattended,323 - Multi-Unit Dwelling - Over 12 Units,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,2 - Hardwired (standalone),1 - All persons (at risk of injury) self evacuated as a result of hearing alarm,"7 - Spread to other floors, confined to building",8 - Not applicable - no sprinkler system present,3 - No sprinkler system,2 - Fire with no evidence from street,2016-09-09 15:58:32,2016-09-09 16:03:47,1,5.25,11.85
195125,"72 - Court, Patio, Terrace",01 - Normal (no change),8 - Not applicable (not a business),0,0,5000.0,0.0,,2016-06-19T17:49:45,2 - Confined to part of room/area of origin,01 - Fire,7 - Not applicable: Occupant(s) first alerted by other means,2 - Fire alarm system did not operate,1 -  Fire alarm system present,2016-06-19 17:53:05,14 - Open Fired Barbeque - Fixed or Portable,F16054963,341,15.0,FIR,Cedric Ave / Holland Park Ave,2016-06-19T18:35:38,43.68677,002,-79.4364,29 - Other Furniture,1 - Extinguished by fire department,10,34,44 - Unattended,301 - Detached Dwelling,3 - Floor/suite of fire origin: Smoke alarm present did not operate,7 - Unit failure,2 - Hardwired (standalone),7 - Not applicable: Occupant(s) first alerted by other means,"4 - Spread beyond room of origin, same floor",8 - Not applicable - no sprinkler system present,3 - No sprinkler system,2 - Fire with no evidence from street,2016-06-19 17:44:51,2016-06-19 17:48:45,1,3.9,8.233333333333333
195312,"52 - HVAC Equipment Room (furnace room, water heater closet, boiler)",02 - Under Renovation,1 - No business interruption,0,0,500.0,0.0,,2017-09-29T10:10:00,2 - Confined to part of room/area of origin,01 - Fire,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system,1 - Fire alarm system operated,1 -  Fire alarm system present,2017-09-29 10:45:00,72 - Cutting/Welding Equipment,F17094217,142,9.0,FIR,Jane St / Stanley Rd / Rita Dr,2017-09-29T10:50:05,43.743120000000005,B01,-79.51414,15 - Structural Member,1 - Extinguished by fire department,9,32,47 - Improper handling of ignition source or ignited material,302 - Semi-Detached Dwelling,2 - Floor/suite of fire origin: Smoke alarm present and operated,98 - Not applicable: Alarm operated OR presence/operation undetermined,1 - Battery operated,2 - Some persons (at risk) self evacuated as a result of hearing alarm,"4 - Spread beyond room of origin, same floor",8 - Not applicable - no sprinkler system present,3 - No sprinkler system,2 - Fire with no evidence from street,2017-09-29 09:38:23,2017-09-29 09:45:03,1,6.666666666666667,66.61666666666666
195340,79 - Other Outside Area,01 - Normal (no change),9 - Undetermined,0,0,49999.0,0.0,,2014-06-19T02:11:55,9 - Confined to roof/exterior structure,01 - Fire,"8 - Not applicable: No fire alarm system, no persons present",8 - Not applicable (no system),8 - Not applicable (bldg not classified by OBC OR detached/semi/town home),2014-06-19 02:40:34,999 - Undetermined,F14052508,421,12.0,FICI,Brownville Ave / Barr Ave,2014-06-19T03:42:46,43.68629,999,-79.4863,99 - Undetermined (formerly 98),1 - Extinguished by fire department,6,21,99 - Undetermined,"341 - Motor Home, Camper, Trailer",1 - Floor/suite of fire origin: No smoke alarm,9 - Other reason,8 - Not applicable - no smoke alarm or presence undetermined,"8 - Not applicable: No alarm, no persons present",9 - Confined to roof/exterior structure,8 - Not applicable - no sprinkler system present,3 - No sprinkler system,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)",2014-06-19 02:04:18,2014-06-19 02:09:51,1,5.55,36.266666666666666
